Stock,(price - low) / (high - low)
AAC,0.026642984014209593
AA,0.02700032927230809
AADR,0.03476190476190461
AAOI,0.07140649149922729
AAMC,0.13140427837575938
AAL,0.2104715672676839
AABA,0.23941551142750092
AAPL,0.31887540550282345
AAME,0.35
AAON,0.4858044164037855
A,0.5006858710562413
AAN,0.6253630203291383
AAAU,0.7625624449015576
AAP,0.8820507551628479
